"","X","BeerID","Name","StyleID","Beer_Style","Page_Views","Recipe_Type","Rating","Yield","Description","Ingredients","Procedure"
"1047",1047,1047,"Caldera Orange Dry Hop",7,"American IPA",3167,"all-grain","4-0","5.5 US gallons","0","10 lbs 4.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 2 lbs 8.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 1.0 oz - Galena [13.0%] - Boil 60 min (Hops) 1.0 oz - Cascade [6.8%] - Boil 20 min (Hops) 0.50 oz - Orange Peel, Sweet (Boil 20 min) (Misc) 1.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.0 oz - Cascade [6.8%] - Boil 10 min (Hops) 1.0 oz - Fuggles [4.2%] - Boil 10 min (Hops) 1.0 oz - Cascade [6.8%] - Boil 5 min (Hops) 1.0 oz - Fuggles [4.2%] - Boil 5 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 2.0 oz - Cascade [6.8%] - Dry Hop 0 days (Hops) 0.5 oz - Centennial [10.0%] - Dry Hop 0 days (Hops)","0"
"1062",1062,1062,"Stone Arrogant Bastard-Clone",7,"American IPA",3557,"all-grain","4-0","5 US gallons","10/18/11 - Tasted the gravity reading sample and it is very hoppy citrusy with an upfront bitterness. Gravity was 1.025+ at 68 deg F. Activity was slowing down and it is begining to clear. Rocked carboy and allowed to warm a few degrees to allow it to finish completely. Color is not as dark as","13 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs 4.0 oz - Aromatic Malt (26.0 SRM) (Grain) 1 lbs - Caramunich Malt (56.0 SRM) (Grain) 8.0 oz - Special B Malt (180.0 SRM) (Grain) 1.5 oz - Chinook [13.0%] - Boil 60 min (Hops) 1.5 oz - Chinook [13.0%] - Boil 20 min (Hops) 1.0 oz - Chinook [13.0%] - Boil 1 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast)","0"
"1064",1064,1064,"Jalepeno Session IPA",7,"American IPA",3466,"all-grain","4-0","10 US gallons","0","11 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 9 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 2 lbs - Special Roast (50.0 SRM) (Grain) 1 lbs 12.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 2.0 oz - Comet [11.0%] - Boil 60 min (Hops) 1.5 oz - Willamette [7.8%] - Boil 60 min (Hops) 2.0 oz - Cascade [5.5%] - Boil 10 min (Hops) 1.50 lbs - Jalapeno Peppers (Boil 5 min) (Misc) 4 pkgs - American Ale (Wyeast Labs #1056) (Yeast)","0"
"1070",1070,1070,"Citra Cascade IPA",7,"American IPA",4938,"all-grain","4-0","5.5 US gallons","0","12 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 2 lbs - Vienna Malt (Weyermann) (3.0 SRM) (Grain) 8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 1.0 oz - Citra [11.0%] - Boil 60 min (Hops) 0.5 oz - Citra [11.0%] - Boil 45 min (Hops) 0.5 oz - Citra [11.0%] - Boil 30 min (Hops) 0.5 oz - Citra [11.0%] - Boil 15 min (Hops) 1.00 - Whirlfloc Tablet (Boil 10 min) (Misc) 0.5 oz - Citra [11.0%] - Steep 0 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast) 1.0 oz - Cascade [5.5%] - Dry Hop 14 days (Hops)","0"
"1073",1073,1073,"Classic American IPA",7,"American IPA",5551,"all-grain","4-0","2.5 US gallons","0","6 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs - Munich Malt - 10L (10.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 0.4 oz - Chinook [12.5%] - Boil 60 min (Hops) 0.5 oz - Amarillo Gold [10.7%] - Boil 30 min (Hops) 0.2 oz - Amarillo Gold [10.7%] - Boil 15 min (Hops) 0.2 oz - Cascade [7.3%] - Boil 15 min (Hops) 1.00 - Whirlfloc Tablet (Boil 10 min) (Misc) 0.50 tsp - Yeast Nutrient (Boil 10 min) (Misc) 0.2 oz - Amarillo Gold [10.7%] - Boil 5 min (Hops) 0.2 oz - Cascade [7.3%] - Boil 5 min (Hops) 0.5 oz - Amarillo Gold [10.7%] - Steep 20 min (Hops) 0.5 oz - Cascade [7.3%] - Steep 20 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 1.0 oz - Cascade [6.8%] - Dry Hop 7 days (Hops)","0"
"1074",1074,1074,"Mach 5 IPA (Racer 5 Clone)",7,"American IPA",1693,"all-grain","4-0","5.5 US gallons","Fermenting","12 lbs 8.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs 13.2 oz - Wheat Malt, Bel (2.0 SRM) (Grain) 11.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 8.0 oz - Caramel Pils Malt (2.0 SRM) (Grain) 0.6 oz - Columbus (Tomahawk) [14.0%] - Boil 90 min (Hops) 1.0 oz - Cascade [5.5%] - Boil 20 min (Hops) 1.0 oz - Columbus (Tomahawk) [14.0%] - Boil 20 min (Hops) 0.5 oz - Cascade [5.5%] - Boil 10 min (Hops) 0.5 oz - Columbus (Tomahawk) [14.0%] - Boil 10 min (Hops) 1 pkgs - California Ale V (White Labs #WLP051) (Yeast) 0.5 oz - Cascade [5.5%] - Dry Hop 0 days (Hops) 0.5 oz - Centennial [10.0%] - Dry Hop 0 days (Hops) 0.5 oz - Chinook [13.0%] - Dry Hop 0 days (Hops) 0.5 oz - Columbus (Tomahawk) [14.0%] - Dry Hop 0 days (Hops)","0"
"1099",1099,1099,"Cheap Ass IPA",7,"American IPA",2223,"all-grain","4-0","5 US gallons","0","1.00 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc) 8 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 2 lbs - Cara-Pils/Dextrine (2.0 SRM) (Grain) 2 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 1.0 oz - Chinook [11.1%] - Boil 60 min (Hops) 1.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.00 tsp - Yeast Nutrient (Boil 15 min) (Misc) 1.0 oz - Falconer&#39;s Flight [11.4%] - Boil 5 min (Hops) 4.00 oz - Malto-Dextrine (Boil 5 min) (Misc) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 2.0 oz - Summit [17.0%] - Dry Hop 5 days (Hops)","0"
"1111",1111,1111,"Midnight Monsoon American Black Ale",7,"American IPA",4732,"all-grain","4-0","12 US gallons","0","22 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 3 lbs 8.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 2 lbs - Midnight Wheat (550.0 SRM) (Grain) 2 lbs - Special B Malt (180.0 SRM) (Grain) 1 lbs - Chocolate Malt (350.0 SRM) (Grain) 2.0 oz - Tomahawk [15.5%] - Boil 90 min (Hops) 2.0 oz - Nugget [13.0%] - Boil 45 min (Hops) 1.0 oz - Fuggles [4.5%] - Boil 30 min (Hops) 1.0 oz - Fuggles [4.5%] - Boil 15 min (Hops) 1.0 oz - Fuggles [4.5%] - Boil 0 min (Hops) 1 pkgs - Edinburgh Ale (White Labs #WLP028) (Yeast)","0"
"1118",1118,1118,"StinckyIPA6",7,"American IPA",2678,"all-grain","4-0","5.28 US gallons","Fantastica, odori profumi veramente buona. ben bilanciata.","12 lbs 2.0 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 14.1 oz - Munich Malt (9.0 SRM) (Grain) 10.6 oz - Carared (25.4 SRM) (Grain) 8.8 oz - Caramel/Crystal Malt - 10L (10.0 SRM) (Grain) 7.1 oz - Wheat Malt, Bel (2.0 SRM) (Grain) 0.9 oz - Columbus (Tomahawk) [15.5%] - Boil 60 min (Hops) 1.0 oz - Centennial [7.5%] - Boil 10 min (Hops) 1.0 oz - Simcoe [13.5%] - Boil 5 min (Hops) 1.0 oz - Amarillo Gold [9.5%] - Boil 0 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast)","0"
"1119",1119,1119,"Cant Stop, Cant Stop the Hop",7,"American IPA",4105,"all-grain","4-0","10 US gallons","0","16.50 gal - St. Paul, MN (Water) 22 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 2 lbs - Caramel/Crystal Malt - 10L (10.0 SRM) (Grain) 1 lbs 8.0 oz - Munich Malt (9.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 2.0 oz - Horizon [13.0%] - Boil 60 min (Hops) 1.00 tsp - Irish Moss (Boil 15 min) (Misc) 2.0 oz - Centennial [9.0%] - Boil 10 min (Hops) 2.0 oz - Simcoe [12.0%] - Boil 5 min (Hops) 2.0 oz - Amarillo Gold [9.0%] - Boil 0 min (Hops) 2 pkgs - California Ale (White Labs #WLP001) (Yeast)","0"
"1120",1120,1120,"Super G Citra IPA",7,"American IPA",1233,"all-grain","4-0","5.15 US gallons","Citra nose, nice small bite up front, followed by sweet light malt, fairly thick mouthfeel (uncarbonated tasting), citra finish, aftertaste is bitter citrus. Going to dryhop with Citra, thought about using the last ounce of super G too.","11 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs 8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 0.2 oz - Super Galena [12.0%] - First Wort (Hops) 0.2 oz - Super Galena [12.0%] - Boil 60 min (Hops) 0.2 oz - Super Galena [12.0%] - Boil 50 min (Hops) 0.2 oz - Super Galena [12.0%] - Boil 40 min (Hops) 1.03 - Whirlfloc Tablet (Boil 15 min) (Misc) 0.5 oz - Citra [13.4%] - Boil 15 min (Hops) 0.5 oz - Citra [13.4%] - Boil 7 min (Hops) 0.5 oz - Citra [13.4%] - Boil 5 min (Hops) 0.5 oz - Citra [13.4%] - Boil 1 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast) 1.0 oz - Amarillo Gold [8.5%] - Dry Hop 7 days (Hops) 1.0 oz - Citra [12.0%] - Dry Hop 7 days (Hops)","0"
"1121",1121,1121,"Douglas Fir Infused IPA",7,"American IPA",4025,"all-grain","4-0","6.1 US gallons","0","13 lbs 12.0 oz - Pale, Premium (2 Row) (1.8 SRM) (Grain) 1 lbs - Caramel/Crystal 40L (40.0 SRM) (Grain) 1 lbs - Caramel/Crystal 75L (75.0 SRM) (Grain) 8.0 oz - CaraVienna (CaraRed) (30.0 SRM) (Grain) 8.0 oz - Vienna (2.6 SRM) (Grain) 0.8 oz - CTZ (Columbus, Tomahawk, Zeus) [13.9%] - Boil 90 min (Hops) 0.2 oz - Centennial [8.7%] - Boil 90 min (Hops) 0.5 oz - Cascade [6.4%] - Boil 68 min (Hops) 0.5 oz - Cascade [6.4%] - Boil 45 min (Hops) 0.5 oz - Cascade [6.4%] - Boil 23 min (Hops) 0.5 oz - Cascade [6.4%] - Steep 15 min (Hops) 1 pkgs - Burton Ale (White Labs #WLP023) (Yeast) 0.5 oz - Cascade [6.4%] - Dry Hop 6 days (Hops)","0"
"1122",1122,1122,"Damn The Torpedos",7,"American IPA",832,"all-grain","4-0","6.6 US gallons","0","17 lbs 2.3 oz - Pale Malt (2 Row) UK (3.0 SRM) (Grain) 14.3 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 1.6 oz - Magnum [14.0%] - Boil 90 min (Hops) 2.50 g - Protafloc (Boil 15 min) (Misc) 1.1 oz - Crystal [3.3%] - Boil 5 min (Hops) 1.1 oz - Magnum [14.0%] - Boil 5 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 0.9 oz - Citra [12.0%] - Dry Hop 0 days (Hops) 0.9 oz - Crystal [3.3%] - Dry Hop 0 days (Hops) 0.9 oz - Magnum [14.0%] - Dry Hop 0 days (Hops)","0"
"1133",1133,1133,"Overtime IPA",7,"American IPA",1343,"all-grain","4-0","6 US gallons","0","10.00 gal - St. Louis County Water (Water) 2.00 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc) 10 lbs - Pale Malt (2 Row) US (1.8 SRM) (Grain) 3 lbs - Pilsner (2 Row) Ger (2.0 SRM) (Grain) 1 lbs - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 1 lbs - Caramunich I (Weyermann) (51.0 SRM) (Grain) 1 lbs - Munich Malt - 10L (10.0 SRM) (Grain) 1.0 oz - Cascade [8.2%] - Boil 60 min (Hops) 1.0 oz - Amarillo Gold [9.5%] - Boil 18 min (Hops) 1.0 oz - Centennial [10.5%] - Boil 18 min (Hops) 2.00 - Whirlfloc Tablet (Boil 15 min) (Misc) 1.0 oz - Amarillo Gold [9.5%] - Boil 5 min (Hops) 1.0 oz - Cascade [8.2%] - Boil 5 min (Hops) 1.0 oz - Simcoe [14.1%] - Boil 5 min (Hops) 1.0 oz - Centennial [10.5%] - Boil 1 min (Hops) 1.0 oz - Simcoe [14.1%] - Boil 1 min (Hops) 1 pkgs - American Ale (Wyeast Labs #1056) (Yeast)","0"
"1161",1161,1161,"I Don't Know American IPA",7,"American IPA",1563,"all-grain","4-0","5.3 US gallons","0","1.00 tbsp - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc) 9 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 1 lbs - Honey Malt (25.0 SRM) (Grain) 1 lbs - Special Roast (50.0 SRM) (Grain) 1 lbs - Victory Malt (28.0 SRM) (Grain) 5.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 0.5 oz - Citra [14.0%] - Boil 60 min (Hops) 0.5 oz - Yackima Magnum [14.0%] - Boil 60 min (Hops) 0.5 oz - Citra [14.0%] - Boil 20 min (Hops) 0.33 tsp - Irish Moss (Boil 10 min) (Misc) 0.5 oz - Citra [14.0%] - Boil 2 min (Hops) 1 pkgs - English Ale (White Labs #WLP002) (Yeast) 0.5 oz - Citra [14.0%] - Dry Hop 21 days (Hops)","0"
"1164",1164,1164,"Outlaw",7,"American IPA",524,"all-grain","4-0","4 US gallons","Big rich tropical fruit on the nose followed by grapefruit and then a lingering bitterness. Maybe only 1/2 oz of Cascade at bittering?","9 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 12.0 oz - Munich Malt (9.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 8.0 oz - Wheat, Flaked (1.6 SRM) (Grain) 4.0 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 1.0 oz - Cascade [5.5%] - Boil 60 min (Hops) 0.5 oz - Galaxy [14.0%] - Boil 20 min (Hops) 0.5 oz - Mosaic [12.7%] - Boil 20 min (Hops) 1.5 oz - Galaxy [14.0%] - Steep 0 min (Hops) 0.5 oz - Mosaic [12.7%] - Steep 0 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0"
"1167",1167,1167,"Isolda-apa-micro-biab-1",7,"American IPA",2164,"all-grain","4-0","2.91 US gallons","0","2.00 g - Epsom Salt (MgSO4) (Mash 60 min) (Misc) 6 lbs 4.3 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 15.8 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 5.1 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 5.1 oz - Munich Malt (9.0 SRM) (Grain) 4.0 oz - Wheat Malt, Ger (2.0 SRM) (Grain) 3.9 oz - Acid Malt (3.0 SRM) (Grain) 0.6 oz - Chinook [13.0%] - First Wort (Hops) 1.0 oz - Ahtanum [6.0%] - Boil 15 min (Hops) 1.0 oz - Cascade [5.5%] - Boil 15 min (Hops) 0.5 oz - Ahtanum [6.0%] - Steep 0 min (Hops) 0.5 oz - Cascade [5.5%] - Steep 0 min (Hops) 1 pkgs - American Ale (Wyeast Labs #1056) (Yeast) 0.5 oz - Ahtanum [6.0%] - Dry Hop 0 days (Hops) 0.5 oz - Cascade [5.5%] - Dry Hop 0 days (Hops)","0"
"1168",1168,1168,"Tristany-apa-micro-biab-2",7,"American IPA",3973,"all-grain","4-0","2.91 US gallons","0","6 lbs 11.4 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain) 5.1 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 5.1 oz - Munich Malt (9.0 SRM) (Grain) 4.9 oz - Acid Malt (3.0 SRM) (Grain) 4.9 oz - Wheat Malt, Ger (2.0 SRM) (Grain) 0.6 oz - Chinook [12.3%] - First Wort (Hops) 1.00 g - Epsom Salt (MgSO4) (Boil 60 min) (Misc) 0.6 oz - Chinook [12.3%] - Boil 15 min (Hops) 0.5 oz - Ahtanum [3.0%] - Boil 15 min (Hops) 0.5 oz - Cascade [5.5%] - Boil 15 min (Hops) 0.5 oz - Ahtanum [6.0%] - Steep 0 min (Hops) 0.5 oz - Cascade [5.5%] - Steep 0 min (Hops) 1 pkgs - American Ale (Wyeast Labs #1056) (Yeast) 0.5 oz - Ahtanum [6.0%] - Dry Hop 0 days (Hops) 0.5 oz - Cascade [5.5%] - Dry Hop 0 days (Hops)","0"
"1169",1169,1169,"WheatPA",7,"American IPA",978,"all-grain","4-0","5 US gallons","0","8.0 oz - Rice Hulls (0.0 SRM) (Grain) 6 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 3 lbs - White Wheat Malt (2.4 SRM) (Grain) 2 lbs - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 8.0 oz - Wheat, Flaked (1.6 SRM) (Grain) 0.5 oz - Citra [14.1%] - Boil 60 min (Hops) 1.0 oz - Cascade [6.8%] - Boil 20 min (Hops) 1.0 oz - Centennial [6.9%] - Boil 20 min (Hops) 0.5 oz - Citra [14.1%] - Boil 10 min (Hops) 1.00 oz - Orange Peel, Bitter (Boil 10 min) (Misc) 1.00 tbsp - Coriander Seed (Boil 5 min) (Misc) 1 pkgs - Belgian Witbier (Wyeast Labs #3944) (Yeast) 1.0 oz - Citra [11.0%] - Dry Hop 3 days (Hops)","0"
"1182",1182,1182,"hop stoopid",7,"American IPA",1665,"all-grain","4-0","6 US gallons","0","13.00 g - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc) 17 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain) 9.3 oz - Victory Malt (25.0 SRM) (Grain) 2.5 oz - Columbus (Tomahawk) [14.0%] - Boil 90 min (Hops) 1.2 oz - Cascade [5.5%] - Boil 12 min (Hops) 1.2 oz - Chinook [13.0%] - Boil 12 min (Hops) 2.4 oz - Simcoe [13.0%] - Boil 0 min (Hops) 1 pkgs - English Ale (White Labs #WLP002) (Yeast) 3.1 oz - Columbus (Tomahawk) [14.0%] - Dry Hop 0 days (Hops) 1.6 oz - Simcoe [13.0%] - Dry Hop 0 days (Hops) 0.8 oz - Chinook [13.0%] - Dry Hop 0 days (Hops)","0"
"1188",1188,1188,"Ballantine No.1 Clone",7,"American IPA",1136,"all-grain","4-0","11 US gallons","0","4.30 g - Epsom Salt (MgSO4) (Mash 60 min) (Misc) 3.70 g - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc) 2.70 g - Calcium Chloride (Mash 60 min) (Misc) 1.10 g - Chalk (Mash 60 min) (Misc) 1.10 g - Salt (Mash 60 min) (Misc) 22 lbs 1.6 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 4 lbs 8.9 oz - Corn, Flaked (1.3 SRM) (Grain) 3 lbs 6.1 oz - Munich Malt - 10L (10.0 SRM) (Grain) 15.4 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 4.0 oz - Cluster [7.0%] - Boil 60 min (Hops) 2.5 oz - Brewer&#39;s Gold [8.0%] - Boil 25 min (Hops) 2.5 oz - Goldings, East Kent [5.0%] - Boil 3 min (Hops) 2.2 oz - Goldings, East Kent [5.0%] - Dry Hop 0 days (Hops)","0"
"1189",1189,1189,"The Inky Squid (Black IPA)",7,"American IPA",1722,"all-grain","4-0","5 US gallons","0","9 lbs 6.2 oz - Pale Malt (2 Row) US (1.7 SRM) (Grain) 1 lbs 4.0 oz - Carafa II (Weyermann) (415.0 SRM) (Grain) 1 lbs - Barley, Flaked (Briess) (1.7 SRM) (Grain) 8.6 oz - Special Roast (Briess) (50.0 SRM) (Grain) 1.2 oz - Simcoe [13.0%] - Boil 60 min (Hops) 0.2 oz - Simcoe [13.0%] - Boil 20 min (Hops) 0.5 oz - Citra [12.0%] - Boil 5 min (Hops) 0.5 oz - Citra [12.0%] - Boil 1 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 2.0 oz - Simcoe [13.0%] - Dry Hop 7 days (Hops) 1.0 oz - Citra [12.0%] - Dry Hop 7 days (Hops)","0"
"1202",1202,1202,"Maori IPA",7,"American IPA",4948,"partial mash","4-0","5 US gallons","Well,1st FG sample seems like bittering will be ok,although obviously it&#39;s still green. As of 2nd FG,flavors of some tropical fruit &amp; oaky cinnamon &amp; alspice coming through. Dry hop smelling fruity so far.","2 lbs - Pale Malt (2 Row) UK (3.0 SRM) (Grain) 2 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 3.2 oz - Chocolate Malt (350.0 SRM) (Grain) 1 lbs - Dememera Sugar (2.0 SRM) (Grain) 0.3 oz - Pacific Gem [15.0%] - Boil 60 min (Hops) 1.2 oz - Motueka [7.0%] - Boil 25 min (Hops) 1.2 oz - Pacifica [5.5%] - Boil 17 min (Hops) 0.25 tsp - Irish Moss (Boil 10 min) (Misc) 1.2 oz - Wakatu [6.5%] - Boil 9 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 3 lbs - light dry malt (plain) (4.0 SRM) (Grain) 0.8 oz - Motueka [7.0%] - Dry Hop 7 days (Hops) 0.8 oz - Pacifica [5.5%] - Dry Hop 7 days (Hops) 0.8 oz - Wakatu [6.5%] - Dry Hop 7 days (Hops)","0"
"1204",1204,1204,"Citrical IPA",7,"American IPA",2716,"all-grain","4-0","5 US gallons","0","9 lbs - Brewers malt (1.8 SRM) (Grain) 3 lbs - Pale Malt (6 Row) US (2.0 SRM) (Grain) 1 lbs 9.6 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain) 8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain) 0.5 oz - Simcoe [13.0%] - Boil 60 min (Hops) 0.5 oz - Simcoe [13.0%] - Boil 30 min (Hops) 0.5 oz - Amarillo Gold [8.5%] - Boil 10 min (Hops) 0.5 oz - Citra [12.0%] - Boil 10 min (Hops) 0.5 oz - Amarillo Gold [8.5%] - Boil 5 min (Hops) 0.5 oz - Citra [12.0%] - Boil 5 min (Hops) 1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast) 1.0 oz - Amarillo Gold [8.5%] - Dry Hop 7 days (Hops) 1.0 oz - Citra [12.0%] - Dry Hop 7 days (Hops)","0"
"1205",1205,1205,"Double Hump IPA Small Batch",7,"American IPA",2619,"extract","4-0","1.2 US gallons","0","4.0 oz - Vienna Malt (3.5 SRM) (Grain) 1.9 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 1.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain) 1.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain) 1 lbs 12.0 oz - DME Golden Light (Briess) (4.0 SRM) (Grain) 0.2 oz - Galena [12.5%] - Boil 60 min (Hops) 0.06 tsp - Irish Moss (Boil 10 min) (Misc) 0.8 oz - Northern Brewer [8.5%] - Boil 5 min (Hops) 0.5 oz - Northern Brewer [8.5%] - Boil 0 min (Hops) 1 pkgs - California Ale (White Labs #WLP001) (Yeast) 0.5 oz - Amarillo Gold [8.5%] - Dry Hop 14 days (Hops)","0"
"1206",1206,1206,"Maiden Voyage Apricot IPA",7,"American IPA",601,"all-grain","4-0","5 US gallons","Thin body and no head. Hazy like crazy. Fruity, almost slightly sour aroma. Definite apricot flavor up front, tastes artificial. Goes into a wheaty yet fruity flavor. Hop presence and spiciness comes on the back end along with some wheatiness","7 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain) 2 lbs - White Wheat Malt (2.4 SRM) (Grain) 1 lbs - Wheat, Flaked (1.6 SRM) (Grain) 8.0 oz - Caramel/Crystal Malt - 20L (20.0 SRM) (Grain) 8.0 oz - Munich Malt - 20L (20.0 SRM) (Grain) 1.0 oz - Centennial [6.7%] - Boil 60 min (Hops) 1.0 oz - Falconer&amp;#39;s Flight 7c&amp;#39;s [9.9%] - Boil 20 min (Hops) 0.5 oz - Falconer&amp;#39;s Flight 7c&amp;#39;s [9.9%] - Boil 5 min (Hops) 1 pkgs - American Wheat Ale (Wyeast Labs #1010) (Yeast) 4.00 oz - Apricot Extract (Bottling 5 min) (Misc)","0"
"1207",1207,1207,"Gluten Free IPA",7,"American IPA",3044,"extract","4-0","5 US gallons","0","1 lbs - Brown Rice Solids [Boil for 60 min] (2.0 SRM) (Grain) 3 lbs - Brown Rice Syrup [Boil for 60 min] (2.0 SRM) (Grain) 3 lbs - Sorghum Liquid Extract - Briess [Boil for 60 min] (1.5 SRM) (Grain) 1.0 oz - Falconer&#39;s Flight 7C&#39;s [9.9%] - Boil 60 min (Hops) 4.00 oz - Malto-Dextrine (Boil 60 min) (Misc) 1 lbs - Candi Syrup, Amber D-45 [Boil for 15 min] (45.0 SRM) (Grain) 0.50 - Whirlfloc Tablet (Boil 15 min) (Misc) 0.50 tsp - Yeast Nutrient (Boil 15 min) (Misc) 1.0 oz - Horizon [11.2%] - Boil 10 min (Hops) 1.0 oz - Falconer&#39;s Flight 7C&#39;s [9.9%] - Boil 5 min (Hops) 2 pkgs - SafBrew Ale (DCL/Fermentis #S-33) (Yeast) 1.0 oz - Horizon [11.2%] - Dry Hop 0 days (Hops)","0"
"1213",1213,1213,"Revolve",7,"American IPA",2565,"all-grain","4-0","6.08 US gallons","0","8 lbs 13.1 oz - Maris Otter (Crisp) (4.0 SRM) (Grain) 2 lbs 3.3 oz - Munich (DURST MALZ) (17.0 SRM) (Grain) 1 lbs 1.6 oz - Barley, Flaked (Thomas Fawcett) (2.0 SRM) (Grain) 14.1 oz - Caravienne Malt (22.0 SRM) (Grain) 11.6 oz - Biscuit (Dingemans) (22.5 SRM) (Grain) 10.6 oz - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain) 1.1 oz - Cascade [4.0%] - First Wort (Hops) 1.4 oz - Perle [7.7%] - Boil 60 min (Hops) 1.1 oz - Cascade [4.0%] - Boil 60 min (Hops) 1.4 oz - Cascade [4.0%] - Boil 20 min (Hops) 0.7 oz - Sorachi Ace [8.9%] - Boil 20 min (Hops) 0.7 oz - Sorachi Ace [8.9%] - Boil 5 min (Hops) 1 pkgs - London ESB Ale (Wyeast Labs #1968) (Yeast)","0"
